run_id,placement_id,design_name,aspect_ratio,core_util,density,synth_strategy,io_mode,time_driven,routability_driven,cts_max_wire,cts_buf_dist,cts_cluster_size,cts_cluster_dia,skew_setup,skew_hold,setup_slack,hold_slack,setup_tns,hold_tns,setup_vio_count,hold_vio_count,power_total,wirelength,utilization,clock_buffers,clock_inverters,timing_repair_buffers,raw_graph_path,cluster_graph_path,min_skew,min_power,min_wl,gap_skew,gap_power,gap_wl
0,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,201,121,13,42,0.530667,-0.524922,-0.489676,-0.0677506,-7.90189,-23.868,37,1058,0.0378072,258418,0.752108,240,115,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.0334736182005495,1.402032188682044,1.1533325597379296
1,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,250,93,17,69,0.526545,-0.526373,-0.511408,-0.0648361,-8.74445,-20.6358,38,1059,0.0342917,253404,0.734903,151,29,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.0254460260302758,1.271664318030112,1.1309548250037935
2,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,135,123,21,37,0.814654,-0.821682,-0.592277,-0.0905309,-11.1545,-24.1967,40,1066,0.0390917,260345,0.758629,280,161,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.5865381057453176,1.4496662463843357,1.1619328578696968
3,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,197,86,19,59,0.531329,-0.535966,-0.518915,-0.0653375,-8.93638,-19.8463,38,1060,0.0355272,254565,0.740844,161,80,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.034762862746091,1.3174812727137877,1.136136426524801
4,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,135,114,23,54,0.536852,-0.539452,-0.625362,-0.0660541,-13.4903,-19.1575,47,1050,0.0363475,255853,0.744627,176,91,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.0455189014545871,1.347901060594823,1.1418848354473314
5,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,222,125,15,42,0.523163,-0.519234,-0.439375,-0.067341,-6.10049,-23.1945,34,1061,0.0377067,257456,0.751642,227,129,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.018859583351997,1.3983052733071275,1.1490391052476547
6,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,256,118,15,63,0.51826,-0.523674,-0.473513,-0.0655863,-7.33,-22.651,36,1064,0.035001,255242,0.738449,186,31,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.0093109942178746,1.2979678113179558,1.1391579116494541
7,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,243,79,19,54,0.530747,-0.543636,-0.588971,-0.0660449,-11.9458,-19.8819,45,1052,0.0360636,256104,0.743258,180,82,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.03362941814563,1.3373729882073724,1.14300506109916
8,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,211,135,26,37,0.685327,-0.544041,-0.436155,-0.067447,-6.0154,-23.8606,33,1057,0.0390473,260074,0.7584,274,161,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.3346738620274636,1.4480197285470593,1.1607233712097544
9,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,183,89,21,44,0.533725,-0.54196,-0.697145,-0.0666648,-17.2521,-21.2163,48,1057,0.036935,256520,0.748239,204,125,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.0394290711012524,1.3696877549506787,1.1448616900679276
