run_id,placement_id,design_name,aspect_ratio,core_util,density,synth_strategy,io_mode,time_driven,routability_driven,cts_max_wire,cts_buf_dist,cts_cluster_size,cts_cluster_dia,skew_setup,skew_hold,setup_slack,hold_slack,setup_tns,hold_tns,setup_vio_count,hold_vio_count,power_total,wirelength,utilization,clock_buffers,clock_inverters,timing_repair_buffers,raw_graph_path,cluster_graph_path
1,aes_run_20260124_224428,aes,2.0,62,0.85,DELAY 0,0,1,1,237,104,16,41,0.586751,-0.593276,-0.747559,-0.126402,-108.219,-2.56857,761,339,0.0680537,1154850,0.657314,326,72,626,dataset_root/graphs/raw_graphs/aes_run_20260124_224428_raw.pt,dataset_root/graphs/clustered_graphs/aes_run_20260124_224428_clustered.pt
2,aes_run_20260124_224428,aes,2.0,62,0.85,DELAY 0,0,1,1,165,135,18,43,0.912147,-0.918264,-0.742681,-0.146036,-96.1296,-1.99386,640,288,0.0677313,1152970,0.656564,301,65,626,dataset_root/graphs/raw_graphs/aes_run_20260124_224428_raw.pt,dataset_root/graphs/clustered_graphs/aes_run_20260124_224428_clustered.pt
3,aes_run_20260124_224428,aes,2.0,62,0.85,DELAY 0,0,1,1,133,81,28,40,0.96615,-0.996764,-0.681736,-0.27696,-84.6677,-5.12927,564,203,0.068693,1155810,0.658632,283,165,626,dataset_root/graphs/raw_graphs/aes_run_20260124_224428_raw.pt,dataset_root/graphs/clustered_graphs/aes_run_20260124_224428_clustered.pt
4,aes_run_20260124_224428,aes,2.0,62,0.85,DELAY 0,0,1,1,157,121,19,67,1.12607,-0.966253,-0.870192,-0.18185,-205.278,-4.47104,977,297,0.0663648,1150140,0.653991,302,20,626,dataset_root/graphs/raw_graphs/aes_run_20260124_224428_raw.pt,dataset_root/graphs/clustered_graphs/aes_run_20260124_224428_clustered.pt
5,aes_run_20260124_224428,aes,2.0,62,0.85,DELAY 0,0,1,1,161,128,27,68,0.884046,-0.888432,-0.761186,-0.137736,-120.267,-0.911866,807,78,0.065803,1146740,0.652758,214,22,626,dataset_root/graphs/raw_graphs/aes_run_20260124_224428_raw.pt,dataset_root/graphs/clustered_graphs/aes_run_20260124_224428_clustered.pt
6,aes_run_20260124_224428,aes,2.0,62,0.85,DELAY 0,0,1,1,205,76,17,39,0.744839,-0.710856,-0.74448,-0.123286,-124.195,-2.37665,796,316,0.0687635,1159610,0.658704,343,108,626,dataset_root/graphs/raw_graphs/aes_run_20260124_224428_raw.pt,dataset_root/graphs/clustered_graphs/aes_run_20260124_224428_clustered.pt
7,aes_run_20260124_224428,aes,2.0,62,0.85,DELAY 0,0,1,1,237,72,19,41,0.617665,-0.623604,-0.754179,-0.120995,-95.2115,-1.77416,659,278,0.0678655,1153080,0.656983,283,111,626,dataset_root/graphs/raw_graphs/aes_run_20260124_224428_raw.pt,dataset_root/graphs/clustered_graphs/aes_run_20260124_224428_clustered.pt
8,aes_run_20260124_224428,aes,2.0,62,0.85,DELAY 0,0,1,1,244,116,19,64,0.589806,-0.597287,-0.750558,-0.122026,-118.231,-1.59344,796,270,0.0662717,1149440,0.653742,270,21,626,dataset_root/graphs/raw_graphs/aes_run_20260124_224428_raw.pt,dataset_root/graphs/clustered_graphs/aes_run_20260124_224428_clustered.pt
9,aes_run_20260124_224428,aes,2.0,62,0.85,DELAY 0,0,1,1,130,91,27,42,1.06835,-1.0649,-0.839614,-0.251693,-146.694,-3.95413,767,161,0.068502,1156310,0.658147,273,145,626,dataset_root/graphs/raw_graphs/aes_run_20260124_224428_raw.pt,dataset_root/graphs/clustered_graphs/aes_run_20260124_224428_clustered.pt
10,aes_run_20260124_224428,aes,2.0,62,0.85,DELAY 0,0,1,1,246,83,18,42,0.613464,-0.618037,-0.744457,-0.143951,-97.8549,-1.96356,690,292,0.0678398,1153500,0.656746,295,80,626,dataset_root/graphs/raw_graphs/aes_run_20260124_224428_raw.pt,dataset_root/graphs/clustered_graphs/aes_run_20260124_224428_clustered.pt
11,aes_run_20260124_225317,aes,0.7,64,0.83,DELAY 4,1,0,1,189,85,14,70,0.877749,-0.881521,-0.70472,-0.153092,-121.484,-2.12091,621,29,0.033791,908740,0.646275,340,19,129,dataset_root/graphs/raw_graphs/aes_run_20260124_225317_raw.pt,dataset_root/graphs/clustered_graphs/aes_run_20260124_225317_clustered.pt
