run_id,placement_id,design_name,aspect_ratio,core_util,density,synth_strategy,io_mode,time_driven,routability_driven,cts_max_wire,cts_buf_dist,cts_cluster_size,cts_cluster_dia,skew_setup,skew_hold,setup_slack,hold_slack,setup_tns,hold_tns,setup_vio_count,hold_vio_count,power_total,wirelength,utilization,clock_buffers,clock_inverters,timing_repair_buffers,raw_graph_path,cluster_graph_path,min_skew,min_power,min_wl,gap_skew,gap_power,gap_wl,max_gap,norm_gap_skew,norm_gap_power,norm_gap_wl,pareto_dist
0,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,201,121,13,42,0.530667,-0.524922,-0.489676,-0.0677506,-7.90189,-23.868,37,1058,0.0378072,258418,0.752108,240,115,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.0334736182005495,1.402032188682044,1.1533325597379296,1.402032188682044,0.7371254572778735,1.0,0.8226148936153169,0.43157993202615025
1,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,250,93,17,69,0.526545,-0.526373,-0.511408,-0.0648361,-8.74445,-20.6358,38,1059,0.0342917,253404,0.734903,151,29,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.0254460260302758,1.271664318030112,1.1309548250037935,1.271664318030112,0.8063810641622439,1.0,0.8893501287790426,0.30265189264776365
2,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,135,123,21,37,0.814654,-0.821682,-0.592277,-0.0905309,-11.1545,-24.1967,40,1066,0.0390917,260345,0.758629,280,161,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.5865381057453176,1.4496662463843357,1.1619328578696968,1.5865381057453176,1.0,0.9137292329346967,0.7323699655633853,0.7566035508022223
3,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,197,86,19,59,0.531329,-0.535966,-0.518915,-0.0653375,-8.93638,-19.8463,38,1060,0.0355272,254565,0.740844,161,80,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.034762862746091,1.3174812727137877,1.136136426524801,1.3174812727137877,0.7854099213225667,1.0,0.8623548964643368,0.34718286503975476
4,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,135,114,23,54,0.536852,-0.539452,-0.625362,-0.0660541,-13.4903,-19.1575,47,1050,0.0363475,255853,0.744627,176,91,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.0455189014545871,1.347901060594823,1.1418848354473314,1.347901060594823,0.7756644252458739,1.0,0.8471577542519497,0.37846852561679606
5,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,222,125,15,42,0.523163,-0.519234,-0.439375,-0.067341,-6.10049,-23.1945,34,1061,0.0377067,257456,0.751642,227,129,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.018859583351997,1.3983052733071275,1.1490391052476547,1.3983052733071275,0.728638876503909,1.0,0.8217369462750189,0.42569405624403306
6,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,256,118,15,63,0.51826,-0.523674,-0.473513,-0.0655863,-7.33,-22.651,36,1064,0.035001,255242,0.738449,186,31,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.0093109942178746,1.2979678113179558,1.1391579116494541,1.2979678113179558,0.7776086474694783,1.0,0.8776472742361413,0.32899306310251514
7,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,243,79,19,54,0.530747,-0.543636,-0.588971,-0.0660449,-11.9458,-19.8819,45,1052,0.0360636,256104,0.743258,180,82,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.03362941814563,1.3373729882073724,1.14300506109916,1.3373729882073724,0.7728804359441391,1.0,0.8546643839661028,0.36796999665293356
8,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,211,135,26,37,0.685327,-0.544041,-0.436155,-0.067447,-6.0154,-23.8606,33,1057,0.0390473,260074,0.7584,274,161,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.3346738620274636,1.4480197285470593,1.1607233712097544,1.4480197285470593,0.9217235343655664,1.0,0.8015936166659984,0.5818593241882328
9,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,183,89,21,44,0.533725,-0.54196,-0.697145,-0.0666648,-17.2521,-21.2163,48,1057,0.036935,256520,0.748239,204,125,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt,0.513479,0.026966,224062,1.0394290711012524,1.3696877549506787,1.1448616900679276,1.3696877549506787,0.7588803122056685,1.0,0.8358559722315346,0.39900952000888024
10,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,150,117,14,59,0.541799,-0.538228,-1.37163,-0.0675997,-59.7702,-25.2096,104,1113,0.0360938,257176,0.536662,203,60,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt,0.513479,0.026966,224062,1.055153180558504,1.338492917006601,1.1477894511340612,1.338492917006601,0.7883143550122352,1.0,0.85752373923724,0.37344484205283063
11,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,221,79,18,60,0.697663,-0.694544,-1.32809,-0.0646904,-53.6806,-21.726,93,1107,0.0363198,256671,0.53734,172,89,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt,0.513479,0.026966,224062,1.3586982135588797,1.3468738411332788,1.145535610679187,1.3586982135588797,1.0,0.9912972783009488,0.8431126200413929,0.5197754169337472
12,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,166,82,17,52,0.544604,-0.543533,-1.36515,-0.0665059,-56.1593,-23.4323,95,1111,0.0368539,257606,0.539611,193,112,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt,0.513479,0.026966,224062,1.0606159161328894,1.3666802640361937,1.1497085628085084,1.3666802640361937,0.7760527052615733,1.0,0.8412417981460372,0.4006761274401949
13,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,162,80,24,56,0.705272,-0.709743,-1.35335,-0.067228,-55.7265,-21.6353,95,1106,0.0364068,256787,0.537935,179,101,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt,0.513479,0.026966,224062,1.3735167358353506,1.3501001260846994,1.1460533245262472,1.3735167358353506,1.0,0.9829513473409485,0.8343934184604137,0.5323686916402831
14,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,152,110,21,44,0.74396,-0.74206,-1.31633,-0.0681567,-50.959,-25.3007,92,1110,0.038992,258551,0.546859,234,161,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt,0.513479,0.026966,224062,1.4488615892762897,1.4459689979974781,1.1539261454418865,1.4488615892762897,1.0,0.9980035420220806,0.7964364256618024,0.6511976134424236
15,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,235,133,15,40,0.661636,-0.654374,-1.36066,-0.0688963,-43.441,-28.6107,91,1115,0.0414011,261192,0.554937,325,151,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt,0.513479,0.026966,224062,1.2885356557911813,1.5353074241637619,1.1657130615633173,1.5353074241637619,0.8392688236318598,1.0,0.7592701261105722,0.6302917434017176
16,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,257,70,20,51,0.703961,-0.69458,-1.34606,-0.0652177,-48.9496,-22.4071,93,1109,0.0371005,257324,0.540358,188,120,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt,0.513479,0.026966,224062,1.3709635642353435,1.375825113105392,1.1484499825941035,1.375825113105392,0.996466448516065,1.0,0.8347354410488428,0.5485397697187143
17,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,212,125,30,69,0.541249,-0.541202,-1.33118,-0.063922,-47.4628,-16.9019,93,1097,0.0357647,255229,0.535457,136,95,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt,0.513479,0.026966,224062,1.0540820559360753,1.3262886597938146,1.1390998919941802,1.3262886597938146,0.7947606640170951,1.0,0.8588627246283362,0.35880069430968087
18,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,262,110,26,41,0.715218,-0.714947,-1.32965,-0.0679643,-47.7003,-27.3189,92,1115,0.0398001,259313,0.549967,280,168,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt,0.513479,0.026966,224062,1.3928865640074861,1.4759363643106134,1.1573269898510234,1.4759363643106134,0.9437307716570026,1.0,0.7841306832978484,0.6368885748593685
19,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,194,126,16,37,0.657493,-0.655946,-1.34393,-0.0693811,-49.2729,-28.8329,93,1115,0.0431341,261433,0.560863,357,195,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt,0.513479,0.026966,224062,1.280467166135324,1.5995735370466513,1.166788656711089,1.5995735370466513,0.800505345005579,1.0,0.7294373341943202,0.6826190105865064
