run_id,placement_id,design_name,aspect_ratio,core_util,density,synth_strategy,io_mode,time_driven,routability_driven,cts_max_wire,cts_buf_dist,cts_cluster_size,cts_cluster_dia,skew_setup,skew_hold,setup_slack,hold_slack,setup_tns,hold_tns,setup_vio_count,hold_vio_count,power_total,wirelength,utilization,clock_buffers,clock_inverters,timing_repair_buffers,raw_graph_path,cluster_graph_path
1,ethmac_run_20260127_081104,ethmac,1.4,53,0.66,DELAY 3,1,1,1,163,93,19,64,0.689048,-0.679054,1.96173,-0.164032,0,-275.191,0,9271,0.0706723,1213560,0.564428,788,80,922,dataset_root/graphs/raw_graphs/ethmac_run_20260127_081104_raw.pt,dataset_root/graphs/clustered_graphs/ethmac_run_20260127_081104_clustered.pt
2,ethmac_run_20260127_081104,ethmac,1.4,53,0.66,DELAY 3,1,1,1,176,119,28,68,0.887945,-0.842162,1.97623,-0.247847,0,-208.558,0,9187,0.0704217,1204160,0.564231,632,255,922,dataset_root/graphs/raw_graphs/ethmac_run_20260127_081104_raw.pt,dataset_root/graphs/clustered_graphs/ethmac_run_20260127_081104_clustered.pt
3,ethmac_run_20260127_081104,ethmac,1.4,53,0.66,DELAY 3,1,1,1,139,124,20,51,1.08338,-1.09186,1.97909,-0.265378,0,-271.203,0,9269,0.0743625,1215040,0.569373,890,322,922,dataset_root/graphs/raw_graphs/ethmac_run_20260127_081104_raw.pt,dataset_root/graphs/clustered_graphs/ethmac_run_20260127_081104_clustered.pt
4,ethmac_run_20260127_081104,ethmac,1.4,53,0.66,DELAY 3,1,1,1,265,83,27,53,0.711895,-0.700216,1.95859,-0.163376,0,-223.937,0,9199,0.0744212,1212520,0.569443,738,432,922,dataset_root/graphs/raw_graphs/ethmac_run_20260127_081104_raw.pt,dataset_root/graphs/clustered_graphs/ethmac_run_20260127_081104_clustered.pt
5,ethmac_run_20260127_081104,ethmac,1.4,53,0.66,DELAY 3,1,1,1,272,75,29,60,0.724359,-0.580922,1.96381,-0.161478,0,-203.657,0,9176,0.0712954,1205760,0.565455,678,297,922,dataset_root/graphs/raw_graphs/ethmac_run_20260127_081104_raw.pt,dataset_root/graphs/clustered_graphs/ethmac_run_20260127_081104_clustered.pt
6,ethmac_run_20260127_081104,ethmac,1.4,53,0.66,DELAY 3,1,1,1,206,143,29,48,0.707559,-0.716005,1.93909,-0.165749,0,-225.869,0,9213,0.0751155,1212440,0.570422,744,485,922,dataset_root/graphs/raw_graphs/ethmac_run_20260127_081104_raw.pt,dataset_root/graphs/clustered_graphs/ethmac_run_20260127_081104_clustered.pt
7,ethmac_run_20260127_081104,ethmac,1.4,53,0.66,DELAY 3,1,1,1,213,121,15,60,0.689435,-0.703684,1.95446,-0.168048,0,-308.303,0,9311,0.0708494,1214600,0.565013,887,77,922,dataset_root/graphs/raw_graphs/ethmac_run_20260127_081104_raw.pt,dataset_root/graphs/clustered_graphs/ethmac_run_20260127_081104_clustered.pt
8,ethmac_run_20260127_081104,ethmac,1.4,53,0.66,DELAY 3,1,1,1,185,131,28,45,0.880697,-0.86809,1.95099,-0.282801,0,-255.529,0,9245,0.0776254,1219380,0.573801,895,586,922,dataset_root/graphs/raw_graphs/ethmac_run_20260127_081104_raw.pt,dataset_root/graphs/clustered_graphs/ethmac_run_20260127_081104_clustered.pt
9,ethmac_run_20260127_081104,ethmac,1.4,53,0.66,DELAY 3,1,1,1,208,119,22,45,0.69801,-0.705218,1.9646,-0.282801,0,-265.889,0,9266,0.0776179,1219790,0.573622,914,581,922,dataset_root/graphs/raw_graphs/ethmac_run_20260127_081104_raw.pt,dataset_root/graphs/clustered_graphs/ethmac_run_20260127_081104_clustered.pt
10,ethmac_run_20260127_081104,ethmac,1.4,53,0.66,DELAY 3,1,1,1,132,78,13,48,1.03746,-0.990185,1.68249,-0.220873,0,-329.09,0,9335,0.0731423,1221500,0.568256,1153,82,922,dataset_root/graphs/raw_graphs/ethmac_run_20260127_081104_raw.pt,dataset_root/graphs/clustered_graphs/ethmac_run_20260127_081104_clustered.pt
