run_id,placement_id,design_name,aspect_ratio,core_util,density,synth_strategy,io_mode,time_driven,routability_driven,cts_max_wire,cts_buf_dist,cts_cluster_size,cts_cluster_dia,skew_setup,skew_hold,setup_slack,hold_slack,setup_tns,hold_tns,setup_vio_count,hold_vio_count,power_total,wirelength,utilization,clock_buffers,clock_inverters,timing_repair_buffers,raw_graph_path,cluster_graph_path
1,zipdiv_run_20260131_100129,zipdiv,0.7,46,0.7,DELAY 3,1,0,0,181,139,13,61,0.505381,-0.505546,0.868828,-0.0109207,0,-0.0129178,0,2,0.00319926,30743.2,0.450261,17,15,107,dataset_root/graphs/raw_graphs/zipdiv_run_20260131_100129_raw.pt,dataset_root/graphs/clustered_graphs/zipdiv_run_20260131_100129_clustered.pt
2,zipdiv_run_20260131_100129,zipdiv,0.7,46,0.7,DELAY 3,1,0,0,198,126,20,70,0.505381,-0.505546,0.868828,-0.0109207,0,-0.0129178,0,2,0.00319926,30743.2,0.450261,17,15,107,dataset_root/graphs/raw_graphs/zipdiv_run_20260131_100129_raw.pt,dataset_root/graphs/clustered_graphs/zipdiv_run_20260131_100129_clustered.pt
3,zipdiv_run_20260131_100129,zipdiv,0.7,46,0.7,DELAY 3,1,0,0,192,142,17,62,0.505381,-0.505546,0.868828,-0.0109207,0,-0.0129178,0,2,0.00319926,30743.2,0.450261,17,15,107,dataset_root/graphs/raw_graphs/zipdiv_run_20260131_100129_raw.pt,dataset_root/graphs/clustered_graphs/zipdiv_run_20260131_100129_clustered.pt
4,zipdiv_run_20260131_100129,zipdiv,0.7,46,0.7,DELAY 3,1,0,0,175,84,12,52,0.509365,-0.509556,0.869581,-0.0102076,0,-0.0102076,0,1,0.00288766,30718.1,0.443163,17,15,107,dataset_root/graphs/raw_graphs/zipdiv_run_20260131_100129_raw.pt,dataset_root/graphs/clustered_graphs/zipdiv_run_20260131_100129_clustered.pt
5,zipdiv_run_20260131_100129,zipdiv,0.7,46,0.7,DELAY 3,1,0,0,207,79,12,37,0.52126,-0.515547,0.865408,-0.0125044,0,-0.0177243,0,2,0.0031933,30917.4,0.450261,30,2,107,dataset_root/graphs/raw_graphs/zipdiv_run_20260131_100129_raw.pt,dataset_root/graphs/clustered_graphs/zipdiv_run_20260131_100129_clustered.pt
6,zipdiv_run_20260131_100129,zipdiv,0.7,46,0.7,DELAY 3,1,0,0,165,139,24,58,0.505381,-0.505546,0.868828,-0.0109207,0,-0.0129178,0,2,0.00319926,30743.2,0.450261,17,15,107,dataset_root/graphs/raw_graphs/zipdiv_run_20260131_100129_raw.pt,dataset_root/graphs/clustered_graphs/zipdiv_run_20260131_100129_clustered.pt
7,zipdiv_run_20260131_100129,zipdiv,0.7,46,0.7,DELAY 3,1,0,0,232,94,21,42,0.509365,-0.509556,0.869581,-0.0102076,0,-0.0102076,0,1,0.00288766,30718.1,0.443163,17,15,107,dataset_root/graphs/raw_graphs/zipdiv_run_20260131_100129_raw.pt,dataset_root/graphs/clustered_graphs/zipdiv_run_20260131_100129_clustered.pt
8,zipdiv_run_20260131_100129,zipdiv,0.7,46,0.7,DELAY 3,1,0,0,256,140,22,56,0.505381,-0.505546,0.868828,-0.0109207,0,-0.0129178,0,2,0.00319926,30743.2,0.450261,17,15,107,dataset_root/graphs/raw_graphs/zipdiv_run_20260131_100129_raw.pt,dataset_root/graphs/clustered_graphs/zipdiv_run_20260131_100129_clustered.pt
9,zipdiv_run_20260131_100129,zipdiv,0.7,46,0.7,DELAY 3,1,0,0,203,72,22,40,0.52126,-0.515547,0.865408,-0.0125044,0,-0.0177243,0,2,0.0031933,30917.4,0.450261,30,2,107,dataset_root/graphs/raw_graphs/zipdiv_run_20260131_100129_raw.pt,dataset_root/graphs/clustered_graphs/zipdiv_run_20260131_100129_clustered.pt
10,zipdiv_run_20260131_100129,zipdiv,0.7,46,0.7,DELAY 3,1,0,0,187,132,29,55,0.505381,-0.505546,0.868828,-0.0109207,0,-0.0129178,0,2,0.00319926,30743.2,0.450261,17,15,107,dataset_root/graphs/raw_graphs/zipdiv_run_20260131_100129_raw.pt,dataset_root/graphs/clustered_graphs/zipdiv_run_20260131_100129_clustered.pt
