run_id,placement_id,design_name,aspect_ratio,core_util,density,synth_strategy,io_mode,time_driven,routability_driven,cts_max_wire,cts_buf_dist,cts_cluster_size,cts_cluster_dia,skew_setup,skew_hold,setup_slack,hold_slack,setup_tns,hold_tns,setup_vio_count,hold_vio_count,power_total,wirelength,utilization,clock_buffers,clock_inverters,timing_repair_buffers,raw_graph_path,cluster_graph_path
1,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,201,121,13,42,0.530667,-0.524922,-0.489676,-0.0677506,-7.90189,-23.868,37,1058,0.0378072,258418,0.752108,240,115,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt
2,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,250,93,17,69,0.526545,-0.526373,-0.511408,-0.0648361,-8.74445,-20.6358,38,1059,0.0342917,253404,0.734903,151,29,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt
3,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,135,123,21,37,0.814654,-0.821682,-0.592277,-0.0905309,-11.1545,-24.1967,40,1066,0.0390917,260345,0.758629,280,161,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt
4,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,197,86,19,59,0.531329,-0.535966,-0.518915,-0.0653375,-8.93638,-19.8463,38,1060,0.0355272,254565,0.740844,161,80,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt
5,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,135,114,23,54,0.536852,-0.539452,-0.625362,-0.0660541,-13.4903,-19.1575,47,1050,0.0363475,255853,0.744627,176,91,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt
6,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,222,125,15,42,0.523163,-0.519234,-0.439375,-0.067341,-6.10049,-23.1945,34,1061,0.0377067,257456,0.751642,227,129,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt
7,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,256,118,15,63,0.51826,-0.523674,-0.473513,-0.0655863,-7.33,-22.651,36,1064,0.035001,255242,0.738449,186,31,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt
8,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,243,79,19,54,0.530747,-0.543636,-0.588971,-0.0660449,-11.9458,-19.8819,45,1052,0.0360636,256104,0.743258,180,82,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt
9,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,211,135,26,37,0.685327,-0.544041,-0.436155,-0.067447,-6.0154,-23.8606,33,1057,0.0390473,260074,0.7584,274,161,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt
10,picorv32_run_20260121_191951,picorv32,1.0,70,0.8,DELAY 0,1,1,0,183,89,21,44,0.533725,-0.54196,-0.697145,-0.0666648,-17.2521,-21.2163,48,1057,0.036935,256520,0.748239,204,125,282,dataset_root/graphs/raw_graphs/picorv32_run_20260121_191951_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_191951_clustered.pt
11,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,150,117,14,59,0.541799,-0.538228,-1.37163,-0.0675997,-59.7702,-25.2096,104,1113,0.0360938,257176,0.536662,203,60,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt
12,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,221,79,18,60,0.697663,-0.694544,-1.32809,-0.0646904,-53.6806,-21.726,93,1107,0.0363198,256671,0.53734,172,89,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt
13,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,166,82,17,52,0.544604,-0.543533,-1.36515,-0.0665059,-56.1593,-23.4323,95,1111,0.0368539,257606,0.539611,193,112,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt
14,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,162,80,24,56,0.705272,-0.709743,-1.35335,-0.067228,-55.7265,-21.6353,95,1106,0.0364068,256787,0.537935,179,101,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt
15,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,152,110,21,44,0.74396,-0.74206,-1.31633,-0.0681567,-50.959,-25.3007,92,1110,0.038992,258551,0.546859,234,161,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt
16,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,235,133,15,40,0.661636,-0.654374,-1.36066,-0.0688963,-43.441,-28.6107,91,1115,0.0414011,261192,0.554937,325,151,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt
17,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,257,70,20,51,0.703961,-0.69458,-1.34606,-0.0652177,-48.9496,-22.4071,93,1109,0.0371005,257324,0.540358,188,120,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt
18,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,212,125,30,69,0.541249,-0.541202,-1.33118,-0.063922,-47.4628,-16.9019,93,1097,0.0357647,255229,0.535457,136,95,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt
19,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,262,110,26,41,0.715218,-0.714947,-1.32965,-0.0679643,-47.7003,-27.3189,92,1115,0.0398001,259313,0.549967,280,168,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt
20,picorv32_run_20260121_192222,picorv32,1.0,50,0.6,DELAY 3,0,0,0,194,126,16,37,0.657493,-0.655946,-1.34393,-0.0693811,-49.2729,-28.8329,93,1115,0.0431341,261433,0.560863,357,195,276,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192222_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192222_clustered.pt
21,picorv32_run_20260121_192448,picorv32,1.4,57,0.65,AREA 0,1,0,0,136,99,18,54,0.673562,-0.655803,-2.71399,-0.0661027,-124.063,-23.6011,234,1138,0.0347557,251876,0.608437,180,72,278,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192448_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192448_clustered.pt
22,picorv32_run_20260121_192448,picorv32,1.4,57,0.65,AREA 0,1,0,0,243,131,18,62,0.718491,-0.551647,-2.72127,-0.0656998,-114.319,-22.8461,217,1125,0.0334407,250667,0.603235,150,53,278,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192448_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192448_clustered.pt
23,picorv32_run_20260121_192448,picorv32,1.4,57,0.65,AREA 0,1,0,0,187,119,22,68,0.717411,-0.530823,-2.73281,-0.0646548,-124.454,-19.0659,228,1113,0.0333942,250315,0.602678,123,64,278,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192448_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192448_clustered.pt
24,picorv32_run_20260121_192448,picorv32,1.4,57,0.65,AREA 0,1,0,0,276,87,20,67,0.535687,-0.533732,-2.72284,-0.0653835,-118.996,-20.9086,225,1119,0.0334891,250547,0.603138,133,55,278,dataset_root/graphs/raw_graphs/picorv32_run_20260121_192448_raw.pt,dataset_root/graphs/clustered_graphs/picorv32_run_20260121_192448_clustered.pt
