run_id,placement_id,design_name,aspect_ratio,core_util,density,synth_strategy,io_mode,time_driven,routability_driven,cts_max_wire,cts_buf_dist,cts_cluster_size,cts_cluster_dia,skew_setup,skew_hold,setup_slack,hold_slack,setup_tns,hold_tns,setup_vio_count,hold_vio_count,power_total,wirelength,utilization,clock_buffers,clock_inverters,timing_repair_buffers,raw_graph_path,cluster_graph_path
1,sha256_run_20260128_175724,sha256,1.4,48,0.58,AREA 0,0,1,0,155,79,22,63,0.690638,-0.711016,-2.06683,-0.0276582,-35.0353,-1.60312,33,199,0.0131008,307443,0.475633,186,75,161,dataset_root/graphs/raw_graphs/sha256_run_20260128_175724_raw.pt,dataset_root/graphs/clustered_graphs/sha256_run_20260128_175724_clustered.pt
2,sha256_run_20260128_175724,sha256,1.4,48,0.58,AREA 0,0,1,0,133,98,16,42,0.710892,-0.715602,-2.0543,-0.157111,-34.4638,-3.70109,33,239,0.0154604,310619,0.486298,306,151,161,dataset_root/graphs/raw_graphs/sha256_run_20260128_175724_raw.pt,dataset_root/graphs/clustered_graphs/sha256_run_20260128_175724_clustered.pt
3,sha256_run_20260128_175724,sha256,1.4,48,0.58,AREA 0,0,1,0,173,108,30,40,0.689676,-0.684147,-2.02482,-0.131368,-34.0249,-3.46019,33,237,0.0156229,311887,0.487332,347,146,161,dataset_root/graphs/raw_graphs/sha256_run_20260128_175724_raw.pt,dataset_root/graphs/clustered_graphs/sha256_run_20260128_175724_clustered.pt
4,sha256_run_20260128_175724,sha256,1.4,48,0.58,AREA 0,0,1,0,219,84,16,64,0.702706,-0.70201,-2.03977,-0.0248537,-34.3317,-1.91214,33,214,0.0131558,308253,0.475936,232,43,161,dataset_root/graphs/raw_graphs/sha256_run_20260128_175724_raw.pt,dataset_root/graphs/clustered_graphs/sha256_run_20260128_175724_clustered.pt
5,sha256_run_20260128_175724,sha256,1.4,48,0.58,AREA 0,0,1,0,185,86,30,59,0.700867,-0.709599,-2.0485,-0.0276594,-34.4029,-1.66377,33,200,0.0133777,307617,0.476746,176,92,161,dataset_root/graphs/raw_graphs/sha256_run_20260128_175724_raw.pt,dataset_root/graphs/clustered_graphs/sha256_run_20260128_175724_clustered.pt
6,sha256_run_20260128_175724,sha256,1.4,48,0.58,AREA 0,0,1,0,280,84,16,38,0.677449,-0.677402,-2.0406,-0.112539,-33.8787,-3.59791,33,240,0.0164214,312810,0.491005,379,157,161,dataset_root/graphs/raw_graphs/sha256_run_20260128_175724_raw.pt,dataset_root/graphs/clustered_graphs/sha256_run_20260128_175724_clustered.pt
7,sha256_run_20260128_175724,sha256,1.4,48,0.58,AREA 0,0,1,0,200,90,15,53,0.693942,-0.692003,-2.04289,-0.0286577,-34.1566,-2.2625,33,216,0.0136249,308789,0.478038,237,76,161,dataset_root/graphs/raw_graphs/sha256_run_20260128_175724_raw.pt,dataset_root/graphs/clustered_graphs/sha256_run_20260128_175724_clustered.pt
8,sha256_run_20260128_175724,sha256,1.4,48,0.58,AREA 0,0,1,0,236,113,16,57,0.701599,-0.69606,-2.0707,-0.0257693,-34.6155,-2.06826,33,216,0.0133832,307892,0.476796,214,71,161,dataset_root/graphs/raw_graphs/sha256_run_20260128_175724_raw.pt,dataset_root/graphs/clustered_graphs/sha256_run_20260128_175724_clustered.pt
9,sha256_run_20260128_175724,sha256,1.4,48,0.58,AREA 0,0,1,0,231,87,15,54,0.689208,-0.694084,-2.05271,-0.0287145,-34.1797,-2.24798,33,214,0.0134994,308472,0.477497,239,66,161,dataset_root/graphs/raw_graphs/sha256_run_20260128_175724_raw.pt,dataset_root/graphs/clustered_graphs/sha256_run_20260128_175724_clustered.pt
10,sha256_run_20260128_175724,sha256,1.4,48,0.58,AREA 0,0,1,0,234,80,18,48,0.7096,-0.705476,-2.05651,-0.0232694,-35.1547,-2.33239,33,219,0.014253,309075,0.480782,227,126,161,dataset_root/graphs/raw_graphs/sha256_run_20260128_175724_raw.pt,dataset_root/graphs/clustered_graphs/sha256_run_20260128_175724_clustered.pt
